country,in_degree,out_degree,total_degree,in_strength,out_strength,total_strength,betweenness,eigen_centrality,in_degree_norm,out_degree_norm,total_degree_norm
United States of America,117,164,281,1685,5167,6852,1406.296589112173,0.3955920575691256,0.5879396984924623,0.8241206030150754,0.7060301507537688
France,103,165,268,2225,6038,8263,967.39863901414,0.8848122305648319,0.5175879396984925,0.8291457286432161,0.6733668341708543
Netherlands (Kingdom of the),92,165,257,2786,5636,8422,1033.6273092521933,1,0.4623115577889447,0.8291457286432161,0.6457286432160804
Germany,96,147,243,2540,4667,7207,646.0512700205941,0.9567710612635012,0.4824120603015075,0.7386934673366834,0.6105527638190955
United Kingdom of Great Britain and Northern Ireland,92,151,243,1617,3735,5352,1006.4831505639645,0.5784666089886011,0.4623115577889447,0.7587939698492462,0.6105527638190955
Canada,92,128,220,948,1864,2812,1691.9562098637589,0.3253092667636671,0.4623115577889447,0.6432160804020101,0.5527638190954773
Belgium,76,142,218,1693,3096,4789,532.2547919589784,0.7191338114328014,0.38190954773869346,0.7135678391959799,0.5477386934673367
United Arab Emirates,98,112,210,1792,1261,3053,1505.8550726953329,0.4823312743342425,0.49246231155778897,0.5628140703517588,0.5276381909547738
Spain,73,121,194,1573,2082,3655,200.5874438963958,0.6813498218639766,0.36683417085427134,0.6080402010050251,0.48743718592964824
Italy,81,106,187,2233,2008,4241,898.8585668417486,0.9287807077238315,0.40703517587939697,0.5326633165829145,0.46984924623115576
South Africa,76,102,178,745,1764,2509,1028.9508299430674,0.18054608653218537,0.38190954773869346,0.5125628140703518,0.4472361809045226
Thailand,74,100,174,928,1218,2146,1459.4906463566663,0.2751002736715105,0.37185929648241206,0.5025125628140703,0.4371859296482412
Switzerland,79,88,167,1261,1031,2292,1228.8109591151097,0.584755834217736,0.3969849246231156,0.44221105527638194,0.41959798994974873
India,59,102,161,483,916,1399,1655.3639041498523,0.15360697150086056,0.2964824120603015,0.5125628140703518,0.4045226130653266
Denmark,61,99,160,1091,2217,3308,777.6810781776178,0.4650240129657276,0.3065326633165829,0.49748743718592964,0.4020100502512563
Hungary,56,104,160,1348,2481,3829,398.1951568140141,0.6077234164084165,0.2814070351758794,0.5226130653266332,0.4020100502512563
"China, mainland",61,88,149,745,589,1334,1069.949756963243,0.2003053812132053,0.3065326633165829,0.44221105527638194,0.3743718592964824
Brazil,53,94,147,487,877,1364,864.8977183402742,0.15781504101464333,0.2663316582914573,0.4723618090452261,0.3693467336683417
Czechia,53,92,145,1011,2053,3064,379.90620289318366,0.48334651402555523,0.2663316582914573,0.4623115577889447,0.36432160804020103
Egypt,67,74,141,634,460,1094,784.9772919179088,0.23143765412083353,0.33668341708542715,0.37185929648241206,0.3542713567839196
Ireland,59,82,141,863,1323,2186,159.61780511692632,0.3780287082012979,0.2964824120603015,0.4120603015075377,0.3542713567839196
Russian Federation,67,74,141,1361,905,2266,467.6583976871551,0.497429465209827,0.33668341708542715,0.37185929648241206,0.3542713567839196
Australia,46,93,139,381,1669,2050,738.4313254246304,0.10035740946307424,0.23115577889447236,0.46733668341708545,0.3492462311557789
Poland,54,85,139,1470,1824,3294,204.1774847516794,0.6211655080614069,0.271356783919598,0.4271356783919598,0.3492462311557789
United Republic of Tanzania,54,85,139,535,429,964,1181.2261245344248,0.11968584409736566,0.271356783919598,0.4271356783919598,0.3492462311557789
Austria,55,83,138,1271,1705,2976,425.2288641288033,0.5783692530445775,0.27638190954773867,0.41708542713567837,0.34673366834170855
Türkiye,64,69,133,838,421,1259,341.0765141332097,0.32803211613395045,0.32160804020100503,0.34673366834170855,0.3341708542713568
Saudi Arabia,79,51,130,1152,523,1675,1315.8903101455837,0.28766393507257604,0.3969849246231156,0.2562814070351759,0.32663316582914576
Kuwait,67,61,128,920,419,1339,1140.9042436386899,0.2776135060999412,0.33668341708542715,0.3065326633165829,0.32160804020100503
Malaysia,58,69,127,858,506,1364,789.5672858521693,0.23049001539286673,0.2914572864321608,0.34673366834170855,0.31909547738693467
Sweden,57,69,126,695,854,1549,359.8049537222867,0.28643243919003597,0.2864321608040201,0.34673366834170855,0.3165829145728643
Qatar,69,56,125,1040,424,1464,678.4096980365964,0.2715666395203655,0.34673366834170855,0.2814070351758794,0.314070351758794
Argentina,42,74,116,439,859,1298,266.1546777538095,0.12475770413051561,0.21105527638190955,0.37185929648241206,0.2914572864321608
Portugal,39,75,114,733,735,1468,154.78644900467802,0.38607429795629367,0.19597989949748743,0.3768844221105528,0.2864321608040201
Japan,55,58,113,696,304,1000,850.7676951441254,0.21485308445961188,0.27638190954773867,0.2914572864321608,0.28391959798994976
Bulgaria,49,63,112,882,657,1539,533.8437819489676,0.42298522507862224,0.24623115577889448,0.3165829145728643,0.2814070351758794
Romania,45,61,106,1176,1209,2385,168.5744112769821,0.5610444003848423,0.22613065326633167,0.3065326633165829,0.2663316582914573
Slovakia,46,60,106,962,1151,2113,236.42375528563142,0.4454683832385557,0.23115577889447236,0.3015075376884422,0.2663316582914573
