Report ID,Country/Territory,Country(ISO3),Year,Animal type,Animal category,Animal subcategory,Nb live animals,Nb slaughtered animals,Measuring unit,Nb animals premises,Mean live weight (kg),Total meat weight of slaughtered animals (tonnes)
435,"Albania",ALB,2025,Terrestrial,"Cattle",-,"281000","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Swine",-,"74700","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Birds",-,"6748806","",Animals,"198949",-,-
435,"Albania",ALB,2025,Terrestrial,"Sheep",-,"1179300","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Goats",-,"647000","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Sheep / goats (mixed herd)",-,"","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Buffaloes",-,"30","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Equidae",-,"57732","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Camelidae",-,"","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Rabbits / hares (mixed group)",-,"","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Cervidae",-,"","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Dogs",-,"7000","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Cats",-,"4755","",Animals,"",-,-
435,"Albania",ALB,2025,Terrestrial,"Bees",-,"677369","",Hives / Nests,"",-,-
431,"Angola",AGO,2025,Terrestrial,"Cattle",-,"3631804","642838",Animals,"","180","115711"
431,"Angola",AGO,2025,Terrestrial,"Swine",-,"1931852","242472",Animals,"","55","13336"
431,"Angola",AGO,2025,Terrestrial,"Birds","Backyard poultry","9837577","1218450",Animals,"","1,5","1827675"
431,"Angola",AGO,2025,Terrestrial,"Birds","Broiler chickens","90421","67899",Animals,"","1,3","88268"
431,"Angola",AGO,2025,Terrestrial,"Birds","Ducks","8737","1214",Animals,"","2,9","3520"
431,"Angola",AGO,2025,Terrestrial,"Birds","Layer chickens","650438","245009",Animals,"","2,3","563520"
431,"Angola",AGO,2025,Terrestrial,"Birds","Other birds","35353","20145",Animals,"","2,5","50362"
