species,country,in_degree,out_degree,total_degree,in_strength,out_strength,total_strength,betweenness,eigen_centrality,in_degree_norm,out_degree_norm,total_degree_norm
Horses,United States of America,101,135,236,856,1256,2112,2678.4003146429777,1,0.5233160621761658,0.6994818652849741,0.6113989637305699
Horses,France,76,115,191,623,979,1602,1154.6840535357317,0.852136009848959,0.39378238341968913,0.5958549222797928,0.4948186528497409
Horses,Germany,81,110,191,705,1127,1832,550.9591659694091,0.9585159872336789,0.41968911917098445,0.5699481865284974,0.4948186528497409
Horses,Netherlands (Kingdom of the),75,116,191,726,1201,1927,319.11067714707195,0.9632677757306048,0.38860103626943004,0.6010362694300518,0.4948186528497409
Horses,United Kingdom of Great Britain and Northern Ireland,70,118,188,550,961,1511,1575.739595846947,0.7844449114111204,0.3626943005181347,0.6113989637305699,0.48704663212435234
Horses,Canada,78,100,178,452,524,976,2391.079373818965,0.6675297822210938,0.40414507772020725,0.5181347150259067,0.46113989637305697
Horses,Belgium,66,105,171,556,883,1439,707.7788461498222,0.8063152239027058,0.34196891191709844,0.5440414507772021,0.4430051813471503
Horses,United Arab Emirates,68,96,164,492,490,982,1216.8799500123218,0.709237547062045,0.35233160621761656,0.49740932642487046,0.42487046632124353
Horses,Italy,68,77,145,459,556,1015,1038.3488742462862,0.6677759059184655,0.35233160621761656,0.39896373056994816,0.3756476683937824
Horses,Switzerland,65,78,143,504,484,988,1433.0865949919425,0.7433522570937035,0.33678756476683935,0.40414507772020725,0.3704663212435233
Horses,Spain,50,87,137,357,543,900,553.5208180152949,0.5885886830833256,0.25906735751295334,0.45077720207253885,0.3549222797927461
Horses,South Africa,66,67,133,346,332,678,2422.762023849479,0.4929868440079429,0.34196891191709844,0.3471502590673575,0.344559585492228
Horses,Thailand,50,83,133,265,306,571,1986.2257667473734,0.42420002989486894,0.25906735751295334,0.43005181347150256,0.344559585492228
Horses,Ireland,51,70,121,331,607,938,149.0915792995246,0.5882028286229536,0.26424870466321243,0.3626943005181347,0.3134715025906736
Horses,Denmark,50,65,115,297,383,680,705.063309512399,0.5112096537951876,0.25906735751295334,0.33678756476683935,0.2979274611398964
Horses,Russian Federation,55,59,114,430,384,814,569.5892276688259,0.6357303505755431,0.2849740932642487,0.30569948186528495,0.29533678756476683
Horses,Argentina,37,73,110,257,665,922,305.76424177216614,0.4420714822424112,0.19170984455958548,0.37823834196891193,0.2849740932642487
Horses,Sweden,48,60,108,305,363,668,554.5711790716108,0.5385775969913386,0.24870466321243523,0.31088082901554404,0.27979274611398963
Horses,Brazil,43,64,107,243,326,569,1388.607396114424,0.43063198389220125,0.22279792746113988,0.3316062176165803,0.2772020725388601
